stage,attempt,status,selected_before_test,validation_total_return,validation_annual_return,validation_max_drawdown,validation_feasible,validation_target_met,test_total_return,test_annual_return,test_max_drawdown,test_feasible,test_target_met
1,0001,validation_record,False,0.0,0.0,0.0,True,False,0.0,0.0,0.0,True,False
2,0006,validation_record,False,0.2563019996196525,0.0792294245690485,0.1838977369870098,True,False,0.355479616183411,0.0859688118268784,0.1452910358104651,True,False
3,0008,validation_record,False,0.6063640629922036,0.1716175882620791,0.211818857869201,True,False,0.3893499003985865,0.0932607096386359,0.4173853126872866,False,False
4,0012,validation_record,False,1.0012768890901005,0.2609165835001161,0.2330267712702205,True,False,-0.2313486954854386,-0.068859480924531,0.5295745537862775,False,False
5,0063,validation_record,False,1.1436950228023406,0.2902181016901894,0.2330267712702205,True,False,0.0900472031095915,0.0236544773660323,0.3496884047915264,False,False
6,0115,validation_record,False,1.1990400750115549,0.3012549275174212,0.205646589065232,True,True,0.0871813644958949,0.0229240280986122,0.4109897563306384,False,False
7,0136,validation_record,False,1.2331241140535716,0.3079601600737345,0.2072599531615927,True,True,0.6281502309799682,0.1413044198837623,0.3252015015026394,False,False
8,0143,validation_record,False,1.245518019979618,0.3103814693966236,0.1980119284294236,True,True,1.605445164750665,0.2964848686685335,0.2987072093468057,True,False
9,0146,validation_record,False,1.3476109739633189,0.3299959963160874,0.1980119284294234,True,True,1.3623296144241697,0.2625024548887689,0.2934429390035622,True,False
10,0147,validation_record,False,1.4262930925064925,0.3447285319495108,0.1980119284294234,True,True,1.4838961855749035,0.2797980509740794,0.2796677895874543,True,False
11,0151,validation_record,False,1.4895771058867957,0.3563487176914577,0.1980119284294234,True,True,1.3951123727173829,0.2672292473429731,0.3004637150410569,False,False
12,0159,validation_record,False,1.560863023208919,0.3692050186898556,0.1980119284294234,True,True,1.4648211192847485,0.2771256176566719,0.3213894668971591,False,False
13,0162,validation_record,False,1.5731577558750645,0.3713981746158268,0.130419530039592,True,True,1.7251996248160624,0.3123792941569971,0.3004637150410569,True,True
14,0163,validation_record,False,1.6119725240670313,0.3782765678364976,0.1304195300395927,True,True,1.4994708799655312,0.2819690084364918,0.3004637150410569,True,False
15,0164,validation_record,False,1.6867630806471094,0.3913407143823089,0.1508181692856897,True,True,1.555903651859445,0.2897535418010046,0.3213894668971591,False,False
16,0455,validation_record,False,1.7199761060287757,0.3970646524301529,0.1465926212478441,True,True,1.4766680166750406,0.2787871442258687,0.3219815344975254,False,False
17,0473,validation_record,False,1.9229149268451289,0.4310655537518173,0.1508181692856894,True,True,1.3350617186577072,0.2585342664700989,0.3099850443357193,False,False
18,0478,validation_record,True,1.962450223702952,0.4375049339073404,0.1508181692856899,True,True,1.1669649935201258,0.2332953716508965,0.3099850443357193,False,False
