date,bank,bse50,chinext50,cni2000,csi100,csi1000,csi2000,csi300,csi500,csi800,csi_a50,csi_a500,csi_all,dividend,growth,lowvol,sme100,sse180,sse50,ssecomp,star100,star50,sz100,szcomponent,value300
2020-01-02,10331.07,,0.673,,5865.26,6110.04,,5298.75,6049.61,5448.06,,,5535.61,6999.68,2.022,13173.39,3.46,12357.53,4384.5,1.348,,,5.143,0.863,7645.2
2020-01-03,10357.09,,0.671,,5843.29,6141.78,,5289.47,6065.96,5444.29,,,5541.45,6997.42,2.021,13156.51,3.468,12324.52,4366.7,1.346,,,5.135,0.865,7644.71
2020-01-06,10285.87,,0.678,,5802.81,6204.95,,5269.47,6127.08,5441.74,,,5552.84,6972.77,2.048,13094.58,3.496,12265.4,4336.28,1.349,,,5.127,0.867,7577.08
2020-01-07,10334.05,,0.686,,5845.61,6299.27,,5308.94,6200.34,5488.38,,,5610.19,7029.42,2.087,13174.94,3.538,12339.81,4360.65,1.357,,,5.18,0.878,7620.78
2020-01-08,10167.94,,0.676,,5783.37,6213.28,,5247.81,6114.62,5422.1,,,5540.01,6947.43,2.053,12999.83,3.487,12184.01,4309.35,1.342,,,5.132,0.867,7531.56
2020-01-09,10220.96,,0.696,,5855.19,6311.99,,5314.23,6197.76,5491.97,,,5618.11,7035.1,2.107,13122.92,3.548,12308.05,4351.47,1.35,,,5.242,0.888,7598.46
2020-01-10,10219.5,,0.695,,5852.85,6298.76,,5312.72,6178.24,5486.59,,,5610.32,7008.55,2.098,13075.99,3.537,12308.29,4351.95,1.349,,,5.234,0.885,7575.3
2020-01-13,10247.35,,0.706,,5902.79,6379.31,,5364.79,6267.75,5546.58,,,5673.32,7057.75,2.133,13114.32,3.613,12413.33,4383.5,1.357,,,5.311,0.901,7614.01
2020-01-14,10221.37,,0.702,,5881.45,6365.73,,5346.79,6248.25,5528.3,,,5657.82,7065.08,2.119,13120.07,3.603,12374.16,4369.99,1.353,,,5.262,0.896,7611.38
2020-01-15,10110.42,,0.701,,5844.04,6365.09,,5317.25,6234.38,5502.19,,,5636.35,7028.65,2.116,13039.04,3.604,12293.73,4337.94,1.345,,,5.246,0.893,7525.0
2020-01-16,10042.75,,0.704,,5814.52,6352.84,,5294.67,6231.72,5483.94,,,5619.75,6991.93,2.126,12950.16,3.608,12238.05,4316.78,1.34,,,5.238,0.891,7474.03
2020-01-17,10043.03,,0.704,,5822.53,6328.38,,5302.09,6211.85,5485.48,,,5614.97,6994.87,2.129,12942.69,3.598,12267.99,4331.08,1.337,,,5.247,0.891,7482.93
2020-01-20,10094.14,,0.724,,5850.15,6409.6,,5341.62,6299.21,5535.19,,,5672.48,7003.26,2.182,12936.2,3.662,12340.83,4349.26,1.35,,,5.319,0.906,7517.89
2020-01-21,9951.38,,0.717,,5738.61,6352.54,,5250.35,6227.52,5448.33,,,5593.65,6874.51,2.168,12714.27,3.618,12137.81,4272.83,1.33,,,5.215,0.892,7373.53
2020-01-22,9945.86,,0.733,,5755.61,6371.63,,5272.84,6285.66,5478.43,,,5620.85,6898.58,2.197,12719.97,3.687,12169.28,4281.01,1.333,,,5.27,0.907,7385.28
2020-01-23,9705.42,,0.711,,5579.33,6134.2,,5109.45,6062.69,5302.62,,,5435.56,6712.04,2.123,12346.63,3.564,11816.4,4159.89,1.3,,,5.073,0.889,7175.66
2020-02-03,9062.27,,0.653,,5158.04,5597.26,,4706.78,5536.39,4874.31,,,4990.73,6114.12,1.957,11318.26,3.22,10947.94,3868.52,1.2,,,4.578,0.801,6635.9
2020-02-04,9252.19,,0.703,,5290.59,5610.11,,4830.92,5632.87,4992.22,,,5077.15,6242.09,2.08,11551.06,3.38,11180.97,3964.37,1.225,,,4.825,0.821,6791.36
