date,sp500
2020-01-02,296.125244141
2020-01-03,293.882904053
2020-01-06,295.004119873
2020-01-07,294.174621582
2020-01-08,295.742523193
2020-01-09,297.747833252
2020-01-10,296.890960693
2020-01-13,298.93270874
2020-01-14,298.477111816
2020-01-15,299.151519775
2020-01-16,301.640075684
2020-01-17,302.578887939
2020-01-21,301.986328125
2020-01-22,302.022796631
2020-01-23,302.369262695
2020-01-24,299.680206299
2020-01-27,294.876464844
2020-01-28,297.966552734
2020-01-29,297.720489502
2020-01-30,298.686645508
2020-01-31,293.263122559
2020-02-03,295.441619873
2020-02-04,299.944580078
2020-02-05,303.408294678
2020-02-06,304.429321289
2020-02-07,302.80670166
2020-02-10,305.06729126
2020-02-11,305.596008301
2020-02-12,307.564910889
2020-02-13,307.236602783
2020-02-14,307.728912354
2020-02-18,306.935913086
2020-02-19,308.403442383
2020-02-20,307.136444092
2020-02-21,303.973480225
2020-02-24,293.892089844
2020-02-25,284.986480713
2020-02-26,283.938293457
2020-02-27,271.186004639
2020-02-28,270.04675293
2020-03-02,281.741485596
2020-03-03,273.674621582
2020-03-04,285.177886963
2020-03-05,275.6980896
2020-03-06,271.140533447
2020-03-09,249.965927124
2020-03-10,262.900360107
2020-03-11,250.084396362
2020-03-12,226.157043457
2020-03-13,245.490402222
2020-03-16,218.627929688
2020-03-17,230.43208313
2020-03-18,218.764648438
2020-03-19,219.229598999
2020-03-20,209.782028198
2020-03-23,204.418197632
2020-03-24,222.939239502
2020-03-25,226.276657104
2020-03-26,239.488876343
2020-03-27,232.355560303
2020-03-30,239.901489258
2020-03-31,236.325683594
2020-04-01,225.68989563
2020-04-02,230.897720337
2020-04-03,227.560302734
2020-04-06,242.844696045
2020-04-07,243.092254639
2020-04-08,251.252502441
2020-04-09,255.07585144
2020-04-13,252.746994019
2020-04-14,260.201171875
2020-04-15,254.672485352
2020-04-16,255.901016235
2020-04-17,262.814422607
2020-04-20,258.184020996
2020-04-21,250.344680786
2020-04-22,255.901016235
2020-04-23,255.882568359
2020-04-24,259.44934082
2020-04-27,263.190246582
2020-04-28,261.979888916
2020-04-29,268.838195801
2020-04-30,266.335205078
2020-05-01,259.284332275
2020-05-04,259.999542236
2020-05-05,262.401763916
2020-05-06,260.622955322
2020-05-07,263.767822266
2020-05-08,268.132202148
2020-05-11,268.187255859
2020-05-12,262.841827393
2020-05-13,258.19317627
2020-05-14,261.283081055
2020-05-15,262.484130859
2020-05-18,270.4793396
2020-05-19,267.701263428
2020-05-20,272.248931885
2020-05-21,270.369354248
2020-05-22,270.8828125
2020-05-26,274.220336914
2020-05-27,278.300415039
2020-05-28,277.786895752
2020-05-29,279.024810791
2020-06-01,280.15246582
2020-06-02,282.472198486
